,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NATIONAL,REGIONAL,2016,2015,Institution Name,Country/ Territory,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall,,,,,
,,RANK,RANK,RANK,RANK,,,SIZE,FOCUS,RES.,AGE,STATUS,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,,,,,
sort order,id,rank in country,rank in subregion,rank display,rank display2,institution,country code,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,score scaled,,,,,
26338056,456,14,14,26,32,NORTHWESTERN UNIVERSITY,US,L,FC,VH,5,B,90.2,57,76.7,103,94.3,59,94.4,29,33.4,376,51.7,277,85.7,,,,,
27764028,268,1,2,27,  30=,UNIVERSITY OF HONG KONG (HKU),HK,L,FC,VH,5,A,98.9,29,93.8,50,84.0,103,47.3,261,100.0,20,99.3,32,85.4,,,,,
28713003,84,15,15,28,26,"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",US,XL,FC,VH,5,A,100.0,4,99.9,13,31.4,401+,99.8,13,98.1,78,79.2,149,85.2,,,,,
29467030,389,7,9,29,33,THE UNIVERSITY OF MANCHESTER,UK,XL,FC,VH,5,A,97.9,31,99.7,15,76.9,131,53.5,204,90.1,144,98.6,42,84.8,,,,,
30287033,396,1,16,30,24,MCGILL UNIVERSITY,CA,L,FC,VH,5,A,97.3,34,93.7,51,68.8,165,63.1,147,90.9,138,95.2,74,84.1,,,,,
31716007,87,16,17,31,27,"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)",US,XL,FC,VH,4,A,100.0,8,99.6,16,61.6,209,87.6,50,34.1,372,50.7,283,84.0,,,,,
32868014,619,2,18,32,34,UNIVERSITY OF TORONTO,CA,XL,FC,VH,5,A,99.8,15,92.8,54,74.5,140,50.0,232,97.2,94,93.1,92,83.8,,,,,
33129071,176,1,10,33,23,"ECOLE NORMALE SUP…RIEURE, PARIS (ENS PARIS)",FR,S,SP,VH,5,B,82.1,72,71.8,113,76.6,135,100.0,6,84.5,172,65.1,211,82.9,,,,,
34474006,615,1,3,34,39,THE UNIVERSITY OF TOKYO,JP,L,FC,VH,5,A,100.0,7,99.6,18,92.2,73,64.4,141,9.8,401+,19.8,401+,82.6,,,,,
35408029,553,1,4,35,36,SEOUL NATIONAL UNIVERSITY (SNU),KR,L,FC,VH,4,A,98.5,30,96.1,37,82.1,112,72.9,105,26.0,401+,17.6,401+,82.1,,,,,
36462054,269,2,5,36,28,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),HK,L,CO,VH,3,A,91.1,55,86.0,69,45.7,290,87.5,51,100.0,14,98.7,41,81.8,,,,,
37246017,328,2,6,  37=,38,KYOTO UNIVERSITY,JP,L,FC,VH,5,A,99.7,18,92.6,55,95.3,55,60.3,159,14.6,401+,17.6,401+,81.7,,,,,
37269060,362,8,11,  37=,35,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),UK,M,SP,VH,5,A,88.8,61,100.0,6,57.1,224,72.3,107,100.0,23,100.0,8,81.7,,,,,
39356013,50,2,7,39,41,PEKING UNIVERSITY,CN,XL,FC,VH,5,A,99.8,14,99.8,14,66.4,176,64.8,139,53.6,287,49.6,289,81.3,,,,,
40718036,89,17,19,40,44,"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)",US,XL,FC,VH,4,A,95.9,37,62.8,146,64.9,188,92.1,39,52.9,290,39.1,350,80.6,,,,,
41708065,69,9,12,41,37,UNIVERSITY OF BRISTOL,UK,L,FC,VH,5,A,85.5,66,94.8,43,73.8,145,62.7,148,88.8,150,82.4,136,79.6,,,,,
42468016,399,2,2,42,42,THE UNIVERSITY OF MELBOURNE,AU,XL,FC,VH,5,A,99.7,17,99.2,23,27.5,401+,75.1,93,82.6,181,99.3,30,79.5,,,,,
43148055,218,3,8,43,  51=,FUDAN UNIVERSITY,CN,L,FC,VH,5,A,90.8,56,95.3,41,65.6,185,73.9,98,66.7,230,46.5,308,79.4,,,,,
44460048,123,3,9,44,  51=,THE CHINESE UNIVERSITY OF HONG KONG (CUHK),HK,L,FC,VH,4,A,92.4,49,82.0,86,65.9,182,53.4,205,99.5,54,79.9,147,78.1,,,,,
45709026,70,3,20,45,50,UNIVERSITY OF BRITISH COLUMBIA,CA,XL,FC,VH,5,A,99.1,27,95.5,40,38.1,340,66.8,133,87.2,159,68.3,193,78.0,,,,,
46210066,324,2,10,  46=,43,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KR,M,CO,VH,3,A,85.5,67,83.0,79,69.2,162,99.9,12,23.5,401+,10.6,401+,77.9,,,,,
46330034,448,18,21,  46=,53,NEW YORK UNIVERSITY (NYU),US,XL,FC,VH,5,B,97.3,35,96.2,36,95.0,57,28.3,401+,12.2,401+,82.4,137,77.9,,,,,
46473025,588,3,3,  46=,45,THE UNIVERSITY OF SYDNEY,AU,XL,FC,VH,5,A,99.1,26,98.1,29,25.7,401+,67.1,131,99.8,49,94.9,79,77.9,,,,,
49063099,72,19,22,  49=,49,BROWN UNIVERSITY,US,M,FC,VH,5,B,73.5,100,68.3,123,78.2,124,95.5,27,69.0,219,66.7,202,77.8,,,,,
49469038,447,4,4,  49=,  46=,THE UNIVERSITY OF NEW SOUTH WALES (UNSW),AU,XL,FC,VH,4,A,95.3,39,98.7,27,22.3,401+,77.1,88,100.0,32,95.2,75,77.8,,,,,
51471045,515,5,5,  51=,  46=,THE UNIVERSITY OF QUEENSLAND (UQ),AU,XL,FC,VH,5,A,93.4,46,82.7,82,33.1,394,79.9,80,100.0,42,84.6,125,77.6,,,,,
51475068,664,10,13,  51=,48,THE UNIVERSITY OF WARWICK,UK,L,FC,VH,4,A,83.9,69,98.9,24,62.9,198,58.2,171,96.0,109,99.0,39,77.6,,,,,
53131139,178,2,14,  53=,40,ECOLE POLYTECHNIQUE PARISTECH,FR,S,CO,VH,5,A,62.7,140,99.6,17,99.4,35,56.0,192,96.9,97,90.9,101,75.7,,,,,
53885041,678,20,23,  53=,54,UNIVERSITY OF WISCONSIN-MADISON,US,XL,FC,VH,5,A,94.5,42,55.5,184,84.2,102,56.4,186,52.7,291,33.1,397,75.7,,,,,
55088130,130,4,11,55,57,CITY UNIVERSITY OF HONG KONG,HK,M,CO,VH,3,A,64.8,131,43.9,277,83.0,106,91.4,42,100.0,17,98.4,46,75.4,,,,,
